17:17:42.923	127.0.0.1:54826	admin	REQUEST	OPEN QIK	0.49 ms
17:17:42.924	127.0.0.1:54826	admin	OK	Database 'QIK' was opened in 0.03 ms.	0.34 ms
17:17:42.924	127.0.0.1:54826	admin	REQUEST	ADD TO a.xml [...]	0.26 ms
17:17:42.933	127.0.0.1:54826	admin	OK	Resource(s) added in 5.91 ms.	8.22 ms
17:17:42.934	127.0.0.1:54826	admin	REQUEST	XQUERY '//NN[text()="dog"]/following::VBG[text()="chasing"]/following::NN[text()="cat"]'	0.54 ms
17:17:42.935	127.0.0.1:54826	admin	OK	Query executed in 0.66 ms.	1.04 ms
17:17:42.937	127.0.0.1:54826	admin	REQUEST	EXIT	0.47 ms
17:17:42.938	127.0.0.1:54826	admin	OK		0.65 ms
17:20:19.595	127.0.0.1:55172	admin	REQUEST	CREATE DB QIK	0.52 ms
17:20:19.612	127.0.0.1:55172	admin	OK	Database 'QIK' created in 14.09 ms.	17.07 ms
17:20:19.613	127.0.0.1:55172	admin	REQUEST	OPEN QIK	0.39 ms
17:20:19.613	127.0.0.1:55172	admin	OK	Database 'QIK' was opened in 0.03 ms.	0.34 ms
17:20:19.614	127.0.0.1:55172	admin	REQUEST	ADD TO a.xml [...]	0.2 ms
17:20:19.621	127.0.0.1:55172	admin	OK	Resource(s) added in 4.58 ms.	7.27 ms
17:20:19.622	127.0.0.1:55172	admin	REQUEST	FIND '//NN[text()="dog"]/following::VBG[text()="chasing"]/following::NN[text()="cat"]'	0.89 ms
17:20:19.697	127.0.0.1:55172	admin	OK	Query executed in 68.96 ms.	75.15 ms
17:20:19.698	127.0.0.1:55172	admin	REQUEST	EXIT	0.33 ms
17:20:19.699	127.0.0.1:55172	admin	OK		0.6 ms
17:20:34.150	127.0.0.1:55207	admin	REQUEST	CREATE DB QIK	0.47 ms
17:20:34.163	127.0.0.1:55207	admin	OK	Database 'QIK' created in 10.81 ms.	12.65 ms
17:20:34.164	127.0.0.1:55207	admin	REQUEST	OPEN QIK	0.59 ms
17:20:34.164	127.0.0.1:55207	admin	OK	Database 'QIK' was opened in 0.07 ms.	0.43 ms
17:20:34.166	127.0.0.1:55207	admin	REQUEST	ADD TO a.xml [...]	0.2 ms
17:20:34.172	127.0.0.1:55207	admin	OK	Resource(s) added in 4.41 ms.	6.1 ms
17:20:34.173	127.0.0.1:55207	admin	REQUEST	FIND '//NN[text()="dog"]	0.5 ms
17:20:34.178	127.0.0.1:55207	admin	OK	Query executed in 2.36 ms.	5.09 ms
17:20:34.183	127.0.0.1:55207	admin	REQUEST	EXIT	1.34 ms
17:20:34.184	127.0.0.1:55207	admin	OK		0.77 ms
